tarih,fiyat
2025-09-25,53.51
2025-09-26,53.31
2025-09-27,52.91
2025-09-28,52.99
2025-09-29,53.28
2025-09-30,53.76
2025-10-01,54.13
2025-10-02,53.74
2025-10-03,53.87
2025-10-04,53.48
2025-10-05,53.77
2025-10-06,53.66
2025-10-07,53.81
2025-10-08,54.1
2025-10-09,54.06
2025-10-10,53.89
2025-10-11,53.67
2025-10-12,53.78
2025-10-13,54.11
2025-10-14,53.72
2025-10-15,53.46
2025-10-16,53.36
2025-10-17,53.22
2025-10-18,52.85
2025-10-19,52.9
2025-10-20,53.29
2025-10-21,53.39
2025-10-22,53.86
2025-10-23,54.18
2025-10-24,54.37
