tarih,fiyat
2025-09-25,9853.54
2025-09-26,9904.5
2025-09-27,9936.86
2025-09-28,9860.04
2025-09-29,9905.68
2025-09-30,9996.37
2025-10-01,9989.25
2025-10-02,10084.71
2025-10-03,10023.92
2025-10-04,10009.95
2025-10-05,10053.53
2025-10-06,10123.97
2025-10-07,10186.65
2025-10-08,10101.57
2025-10-09,10190.39
2025-10-10,10215.19
2025-10-11,10218.15
2025-10-12,10298.02
2025-10-13,10387.57
2025-10-14,10375.92
2025-10-15,10414.57
2025-10-16,10401.13
2025-10-17,10374.61
2025-10-18,10352.8
2025-10-19,10277.34
2025-10-20,10367.91
2025-10-21,10316.01
2025-10-22,10325.21
2025-10-23,10271.18
2025-10-24,10354.19
