tarih,fiyat
2025-09-25,69774.09
2025-09-26,69616.62
2025-09-27,70166.79
2025-09-28,69864.52
2025-09-29,71181.08
2025-09-30,72069.59
2025-10-01,72443.77
2025-10-02,71950.1
2025-10-03,72665.04
2025-10-04,72549.67
2025-10-05,71230.82
2025-10-06,72375.16
2025-10-07,72445.33
2025-10-08,72305.21
2025-10-09,73434.68
2025-10-10,73267.3
2025-10-11,71996.61
2025-10-12,72680.76
2025-10-13,72910.02
2025-10-14,72515.6
2025-10-15,72461.4
2025-10-16,72140.74
2025-10-17,72219.3
2025-10-18,71503.03
2025-10-19,72282.53
2025-10-20,71922.05
2025-10-21,71484.1
2025-10-22,72871.9
2025-10-23,73738.8
2025-10-24,72490.49
