tarih,fiyat
2025-09-25,3651.04
2025-09-26,3681.72
2025-09-27,3659.67
2025-09-28,3612.29
2025-09-29,3559.67
2025-09-30,3528.5
2025-10-01,3473.01
2025-10-02,3483.7
2025-10-03,3468.68
2025-10-04,3474.61
2025-10-05,3516.66
2025-10-06,3505.42
2025-10-07,3489.86
2025-10-08,3490.19
2025-10-09,3546.42
2025-10-10,3526.46
2025-10-11,3599.03
2025-10-12,3624.82
2025-10-13,3597.89
2025-10-14,3622.45
2025-10-15,3684.27
2025-10-16,3748.55
2025-10-17,3783.06
2025-10-18,3766.14
2025-10-19,3743.25
2025-10-20,3696.32
2025-10-21,3672.86
2025-10-22,3656.17
2025-10-23,3705.31
2025-10-24,3748.32
