tarih,fiyat
2025-09-25,36.88
2025-09-26,37.15
2025-09-27,36.97
2025-09-28,37.19
2025-09-29,37.44
2025-09-30,37.31
2025-10-01,37.4
2025-10-02,37.16
2025-10-03,37.16
2025-10-04,37.32
2025-10-05,37.39
2025-10-06,37.18
2025-10-07,37.05
2025-10-08,37.36
2025-10-09,37.65
2025-10-10,37.8
2025-10-11,38.11
2025-10-12,38.04
2025-10-13,37.74
2025-10-14,37.79
2025-10-15,37.63
2025-10-16,37.75
2025-10-17,37.45
2025-10-18,37.21
2025-10-19,37.5
2025-10-20,37.2
2025-10-21,37.03
2025-10-22,36.84
2025-10-23,36.63
2025-10-24,36.97
