tarih,fiyat
2025-09-25,42.33
2025-09-26,41.99
2025-09-27,42.3
2025-09-28,42.07
2025-09-29,41.8
2025-09-30,41.86
2025-10-01,42.14
2025-10-02,42.2
2025-10-03,42.22
2025-10-04,42.47
2025-10-05,42.44
2025-10-06,42.37
2025-10-07,42.25
2025-10-08,42.3
2025-10-09,41.98
2025-10-10,42.35
2025-10-11,42.23
2025-10-12,41.95
2025-10-13,41.92
2025-10-14,41.85
2025-10-15,41.58
2025-10-16,41.44
2025-10-17,41.28
2025-10-18,41.61
2025-10-19,41.93
2025-10-20,41.8
2025-10-21,41.6
2025-10-22,41.45
2025-10-23,41.12
2025-10-24,40.96
