tarih,fiyat
2025-09-25,350.75
2025-09-26,351.32
2025-09-27,351.92
2025-09-28,349.89
2025-09-29,352.55
2025-09-30,355.82
2025-10-01,354.56
2025-10-02,357.5
2025-10-03,356.97
2025-10-04,355.75
2025-10-05,357.62
2025-10-06,354.86
2025-10-07,357.87
2025-10-08,356.8
2025-10-09,358.86
2025-10-10,360.0
2025-10-11,358.07
2025-10-12,357.77
2025-10-13,355.54
2025-10-14,358.18
2025-10-15,356.43
2025-10-16,354.28
2025-10-17,355.88
2025-10-18,356.94
2025-10-19,357.14
2025-10-20,358.68
2025-10-21,357.61
2025-10-22,357.85
2025-10-23,358.53
2025-10-24,355.64
