tarih,fiyat
2025-09-25,34.31
2025-09-26,34.47
2025-09-27,34.35
2025-09-28,34.27
2025-09-29,34.32
2025-09-30,34.33
2025-10-01,34.09
2025-10-02,33.83
2025-10-03,33.81
2025-10-04,34.06
2025-10-05,34.26
2025-10-06,34.52
2025-10-07,34.36
2025-10-08,34.48
2025-10-09,34.2
2025-10-10,34.29
2025-10-11,34.39
2025-10-12,34.29
2025-10-13,34.54
2025-10-14,34.4
2025-10-15,34.29
2025-10-16,34.5
2025-10-17,34.67
2025-10-18,34.72
2025-10-19,34.46
2025-10-20,34.49
2025-10-21,34.43
2025-10-22,34.6
2025-10-23,34.43
2025-10-24,34.37
