tarih,fiyat
2025-09-25,2418.05
2025-09-26,2423.16
2025-09-27,2442.75
2025-09-28,2439.2
2025-09-29,2435.16
2025-09-30,2433.04
2025-10-01,2443.43
2025-10-02,2462.12
2025-10-03,2458.16
2025-10-04,2465.76
2025-10-05,2487.88
2025-10-06,2507.72
2025-10-07,2503.64
2025-10-08,2483.09
2025-10-09,2488.17
2025-10-10,2495.83
2025-10-11,2491.58
2025-10-12,2481.49
2025-10-13,2474.65
2025-10-14,2463.94
2025-10-15,2470.23
2025-10-16,2488.24
2025-10-17,2510.14
2025-10-18,2501.94
2025-10-19,2516.59
2025-10-20,2530.6
2025-10-21,2541.33
2025-10-22,2530.79
2025-10-23,2537.18
2025-10-24,2547.61
