tarih,fiyat
2025-09-25,2394.41
2025-09-26,2417.16
2025-09-27,2419.38
2025-09-28,2399.65
2025-09-29,2411.24
2025-09-30,2426.93
2025-10-01,2420.66
2025-10-02,2432.76
2025-10-03,2453.69
2025-10-04,2474.91
2025-10-05,2486.83
2025-10-06,2499.15
2025-10-07,2484.92
2025-10-08,2506.58
2025-10-09,2487.21
2025-10-10,2482.23
2025-10-11,2478.56
2025-10-12,2479.79
2025-10-13,2502.03
2025-10-14,2504.93
2025-10-15,2519.53
2025-10-16,2531.9
2025-10-17,2553.49
2025-10-18,2574.87
2025-10-19,2598.56
2025-10-20,2581.92
2025-10-21,2596.31
2025-10-22,2599.57
2025-10-23,2622.34
2025-10-24,2646.49
